index,author_name,review_date,reviewer_ratings,review_body
63,Jolena Cristan,"April 5, 2019",5, great for updates of monies raised to find a CURE!!
64,Donna Carette,"February 21, 2019",5, I love relay for life and help fellow relay for life partiant
65,Musa Christopher,"February 1, 2020",1, It's a waste of data
66,Yolanda Alvarez,"February 25, 2019",5, so east to use even for a computer illiterate.
67,James Kelly,"November 15, 2019",5, easy to use
68,Anthony Fishback,"September 20, 2019",5, Last Season I met my Goal in Fund raising.
69,Christopher Davis,"June 14, 2019",4, good little app
70,Ramona Wisby,"March 29, 2019",4, hard to figure out
71,Jeanette Tucker,"July 24, 2019",5, it help us save lives
72,Geddy Lee,"April 8, 2019",5, I luv it...
73,Tina Lillig,"September 25, 2018",5, Love supporting this cause
74,Michelle Schaefer,"April 8, 2019",4, easy to use
75,Curtis Williams,"April 5, 2019",5, i love this app
76,penny pennyjohnson,"October 21, 2019",4, It was fun
77,Elaine Wilson,"April 26, 2019",5," Easy as 1, 2, 3"
78,YT Ahoy,"September 21, 2019",5, Easy to use
79,Liz McGiffin,"September 21, 2019",5, Easy to use
80,Lori Caminiti,"April 19, 2019",5, love this app
81,Laura Tyree,"August 30, 2019",1, Will not open
82,ELAINE STROUSE,"March 1, 2020",5, Good.
83,Alexis Thomas,"January 29, 2020",5, I love it
84,christina Christina,"January 27, 2020",5, great
85,Mark Cyr,"October 5, 2019",5, Great!
86,Bonnie Estes,"October 14, 2019",5, Awesome
87,Margaret Valderrama-Soliz,"December 4, 2019",5, Awesome
88,Ruben Rangel,"October 18, 2019",5, Excellent
89,Rodney Mann,"September 20, 2019",5, Great app
90,Michelle White,"September 19, 2019",5, Great
91,Ms Banks,"January 25, 2020",5, Easy access
92,Cloey Jane,"June 13, 2019",5, Aweome App
93,Maria Bush,"September 16, 2019",4, Works great
94,Erin Goldman,"May 30, 2019",5, Nice to always look at how much your team raised
95,Juliea Gotsch,"August 7, 2019",5, works great!!
96,Jackie Ballor,"May 8, 2019",5, great fast
97,Darlene Nadeau,"May 30, 2019",5, awesome
98,Jo Cella,"April 3, 2019",5, IT'S good
99,Laurie Ellis,"April 1, 2019",5, great
100,Deborah Hughes,"April 6, 2019",4, good
101,Angela Tucker,"April 5, 2019",5, great
102,Ana Zavala,"April 5, 2019",5, phenomenal
103,KayCe Parsons,"February 12, 2019",5," The improvements made to this app are great. It's nice to accept credit cards, and also to be able to accept different types of payments on behalf of someone else who is fundraising, also."
104,"Phillip Jones, Sr.","March 22, 2019",5, All Good!
105,kerry Anderson,"April 5, 2019",5, Love it!
106,joel halpern,"March 9, 2019",5, great app
