index,author_name,review_date,reviewer_ratings,review_body
66,Rana Mohamed abuhurara Rana Mohamed abuhurara,"July 7, 2019",5, I like this app please this app canveart in English I am from Pakistan love you china
67,gun gorh,"May 26, 2019",5, i am from bangladesh. please i want to english version baidu
68,Mark Dennis Lagrimas,"December 28, 2019",5, Nice. I can now download lol on mobile
69,Santiago Echeverri,"May 22, 2019",1, Spanish and English language please!
70,Jayesh Shah,"October 29, 2019",4, Very nice APP.
71,j j - ano,"January 5, 2020",5, I need english version
72,lk ayala,"October 28, 2019",4, I enjoyed using this app
73,XINNAN PAN,"May 5, 2019",5," Ok, It is really good!"
74,A Google user,"November 19, 2018",1, How can i translate it in english?
75,Wayne Crawford,"June 27, 2019",4, wish i could read the language
76,A Ali,"April 23, 2020",5, Please garena my id
77,Warner,"January 2, 2019",1," Shady company, spy-infested apps."
78,Sun Guo Qiang,"October 6, 2019",5, It is suitable for me.
79,hazem magdy,"December 21, 2019",1, I hate Chinese apps
80,Dilpreet Bharadwaj,"April 30, 2019",4, hwo to language change in English
81,ShamVex YT,"June 16, 2019",5, that great too!
82,Mohammed Saaideh,"May 31, 2019",1, I dont like it
83,yoe shinn,"June 17, 2019",5, I like it much.
84,K -Oppa kynice knick,"June 17, 2019",5, Baidu is superb
85,g,"May 5, 2019",1, gotta love me some china spyware
86,Mohammed Kamal,"May 18, 2019",2, the app scared me
87,Michy Kizy,"May 1, 2019",5, Best app ever
88,lai timothy,"May 13, 2019",1, 中国是垃圾Taiwan no.1
89,A Google user,"November 27, 2018",2, Tell u later
90,ali. jan,"November 19, 2018",5, Nic good quality
91,CALVIN SPARDA,"April 27, 2019",1, everything is chinese
92,Izecakie hiya,"April 21, 2020",3, 一直通知
93,Bimal Adak,"April 13, 2020",1, Very bad
94,Mahim Jana,"April 8, 2020",5, Good
95,Yudong Hao,"March 22, 2020",1, 看听模式在升级后变得结结巴巴。百度这是怎么搞得？
96,ding shanglu,"January 23, 2020",1, 大量垃圾内容充斥其中
97,Shonkhuuz Enkhtaivan,"March 15, 2020",5, Muz
98,d balder,"April 7, 2020",5, Bandkosjehr
99,Wansoo Jeon,"January 29, 2020",5, Very goood
100,Jasmine Tan,"February 27, 2020",4, Good
101,zeyu zheng,"January 20, 2020",1, 辣鸡。难用。多页面稳定这么难用？必须从火狐跳转到你这个浏览器？？？？
102,Deng Mu,"December 31, 2019",1, 图片显示不了 加载太慢
103,Evangeline Lai,"December 11, 2019",3, 我用的时候还挺顺的，只是为何登记必须是国中号码呢？我没国中的电话号码，因此不能登入。若是能有其他国家的国号的也挺好。就说新加坡的 +65 对吧。百度现在也只有单单一个 +86，我不方便登入。我要用微博登入也需要电话号码，而且也是 +86 开头。请改一改，这时为了发表问题以及回答方便嘛。
104,George Li,"November 21, 2019",1, 百度强制安插件 为啥还不倒闭?
105,venkatesan govardhanan,"December 14, 2019",5, CHINESE
106,田六郎,"December 21, 2019",2, 没有百度魔图？找不到百度魔圖
107,KW H,"October 17, 2019",1, 為什麼圖片出不來? 我檢查了不是網速不是儲存不是沒圖模式的問題。
108,Kris 颜慕,"September 20, 2019",5, 太 cool 了 man 我刚开始用啦
109,N.C.T. Zen's,"September 9, 2019",3, Lollll
110,yzx 83,"September 8, 2019",1, garbage
111,Talal Ali,"August 21, 2019",3, Ineed english
112,Diamond Pictures,"September 8, 2019",5, kkk
113,Lester Crest,"August 12, 2019",1, Garbage
114,Jade Mou,"July 25, 2019",1, 你愚蠢的笔记功能导致笔记都不能放到对应文件夹了。还不能关，是自动的。好好做网盘不行。
115,Lcc 121986,"July 14, 2019",5, 非常多的知识都在这里
116,No One,"July 12, 2019",1, 垃圾，trash
