index,author_name,review_date,reviewer_ratings,review_body
0,Lauren Cassidy,"April 28, 2019",5," App works well, no complaints."
1,Tara McFadyen,"June 27, 2019",2," The Patio website said if you get the app, your first order through the app would be 15% off. The app checkout wouldn't use the 15% off, so when I went to the pick-up window, they wouldn't honor the discount and there was no manager to talk to. The food's always good, the app is easy to navigate, bu...Full ReviewThe Patio website said if you get the app, your first order through the app would be 15% off. The app checkout wouldn't use the 15% off, so when I went to the pick-up window, they wouldn't honor the discount and there was no manager to talk to. The food's always good, the app is easy to navigate, but I was disappointed in the customer service."
2,TWI - Willie and Virgie Young,"December 3, 2017",5, Excellent food
